Word,Song IDs and Frequencies
眼前,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1068:3, s1076:3, s1078:2, s1081:2, s1111:1, s1157:2, s2053:1, s2074:2, s2195:2, s2250:2, s2253:2, s3076:2, s3130:1, s3150:2, s3234:1, s3239:1, s4009:1, s5007:1, s5037:4, s5061:1, s5084:3, s5087:2, s5096:2, s5111:1, s5119:4, s5126:1, s5219:1, s5225:1, s5229:4, s5251:2, s6011:1, s6028:1, s6093:1, s6113:1, s6125:1, s6162:1, s6174:1, s6211:1, s6212:1, s6271:1"
模样,"s1001:2, s1005:2, s1027:2, s1030:1, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1, s1123:5, s2011:1, s2012:1, s2016:1, s2026:2, s2037:1, s2062:1, s2064:2, s2065:2, s2066:4, s2069:3, s2077:1, s2096:1, s2117:5, s2120:1, s2127:3, s2135:1, s2141:1, s2175:1, s2192:2, s2226:1, s2234:1, s2255:1, s2271:1, s3028:1, s3050:1, s3056:2, s3077:1, s3078:2, s3091:2, s3096:1, s3102:1, s3106:3, s3114:3, s3119:2, s3146:1, s3164:1, s3169:1, s3178:2, s3204:3, s3211:1, s3217:1, s3223:2, s3233:1, s3234:1, s4017:2, s4023:2, s5061:1, s5100:1, s5165:1, s6034:1, s6057:1, s6084:1, s6085:1, s6110:1, s6155:3, s6184:1, s6193:3, s6198:1, s6231:1, s6235:1, s6258:1, s6266:1, s6277:1"
偌大,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
寂寞,"s1001:2, s1002:3, s1004:3, s1005:2, s1007:3, s1010:2, s1011:3, s1016:2, s1019:3, s1024:3, s1026:4, s1027:2, s1033:1, s1041:3, s1042:1, s1045:2, s1050:3, s1053:2, s1063:3, s1064:1, s1076:3, s1078:2, s1079:3, s1080:3, s1081:2, s1083:2, s1084:3, s1091:3, s1101:1, s1103:2, s1104:3, s1105:3, s1111:1, s1133:1, s1136:1, s1144:2, s1150:3, s1155:3, s1157:2, s1159:3, s2001:4, s2002:6, s2003:2, s2005:4, s2006:3, s2007:2, s2015:3, s2020:1, s2021:3, s2027:1, s2029:4, s2031:3, s2038:2, s2039:4, s2042:6, s2046:4, s2048:3, s2060:2, s2065:1, s2070:4, s2071:4, s2072:3, s2089:3, s2093:3, s2094:4, s2098:2, s2104:1, s2105:2, s2106:4, s2108:6, s2110:2, s2113:7, s2124:3, s2125:4, s2126:3, s2134:2, s2136:5, s2146:1, s2147:4, s2148:2, s2154:5, s2159:3, s2166:6, s2167:4, s2170:6, s2172:6, s2173:4, s2183:1, s2192:1, s2193:6, s2194:2, s2196:3, s2198:4, s2200:1, s2201:2, s2208:4, s2210:2, s2213:3, s2217:3, s2221:3, s2222:2, s2225:3, s2231:2, s2232:3, s2235:2, s2239:4, s2243:3, s2244:4, s2248:6, s2249:1, s2251:4, s2254:4, s2257:2, s2258:3, s2267:2, s2268:2, s2269:2, s2280:2, s2281:6, s3002:2, s3021:1, s3053:1, s3059:1, s3072:2, s3093:2, s3122:2, s3134:2, s3135:1, s3144:2, s3145:3, s3157:3, s3183:2, s3191:1, s3195:2, s3211:1, s3214:1, s3225:2, s3230:2, s3237:1, s3238:1, s3283:1, s5001:2, s5004:2, s5016:2, s5034:3, s5035:2, s5038:1, s5057:3, s5060:3, s5076:1, s5092:2, s5093:2, s5103:1, s5108:2, s5118:1, s5127:2, s5129:3, s5142:1, s5148:2, s5176:2, s5178:2, s5180:1, s5194:1, s5201:2, s5214:1, s5235:2, s5240:6, s5242:1, s5243:1, s5250:1, s6003:1, s6015:1, s6026:2, s6032:1, s6033:1, s6055:1, s6056:1, s6067:2, s6078:2, s6087:1, s6101:1, s6106:1, s6111:1, s6118:1, s6128:1, s6131:1, s6161:1, s6181:1, s6183:1, s6185:1, s6196:2, s6214:1, s6224:1, s6238:1, s6248:1, s6254:1, s6270:4"
关了,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
关了灯,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
全都,"s1001:2, s1003:1, s1005:2, s1027:2, s1033:1, s1036:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1, s1137:1, s1158:1, s2010:3, s2056:6, s2078:3, s2121:1, s2134:2, s2142:3, s2153:3, s2169:3, s2215:3, s2240:3, s2256:3, s2273:1, s3005:2, s3014:1, s3030:1, s3060:4, s3110:2, s3115:2, s3117:1, s3137:1, s3161:1, s3164:2, s3209:1, s3211:1, s3235:1, s3261:1, s3265:1, s3273:2, s3285:1, s5025:2, s5253:3, s6063:1, s6072:1, s6113:3, s6126:3, s6241:1"
一个,"s1001:2, s1002:2, s1004:2, s1005:2, s1007:2, s1008:1, s1010:2, s1011:3, s1015:1, s1016:2, s1019:2, s1020:2, s1024:3, s1025:3, s1026:4, s1027:2, s1033:1, s1034:6, s1041:2, s1042:1, s1043:1, s1045:2, s1049:3, s1050:3, s1051:1, s1053:2, s1054:4, s1063:2, s1064:1, s1070:6, s1076:3, s1078:2, s1079:1, s1080:1, s1081:2, s1083:2, s1084:1, s1085:4, s1089:2, s1091:2, s1101:2, s1102:1, s1104:2, s1105:3, s1106:2, s1107:1, s1111:1, s1118:3, s1119:4, s1120:1, s1128:2, s1133:1, s1144:1, s1150:1, s1155:2, s1156:6, s1159:2, s1163:1, s1165:1, s1169:1, s2002:2, s2006:2, s2009:1, s2031:2, s2032:1, s2042:2, s2047:1, s2049:3, s2057:2, s2065:3, s2066:1, s2070:2, s2076:1, s2091:1, s2092:1, s2093:2, s2099:1, s2100:5, s2102:11, s2107:1, s2113:2, s2116:2, s2117:3, s2128:1, s2129:1, s2133:1, s2143:6, s2162:2, s2163:1, s2164:1, s2166:2, s2168:3, s2170:2, s2172:2, s2178:1, s2179:2, s2180:2, s2182:1, s2192:3, s2193:2, s2207:3, s2217:2, s2225:2, s2228:1, s2231:1, s2232:2, s2233:1, s2243:2, s2248:2, s2250:2, s2254:2, s2258:2, s2278:5, s2281:2, s3007:1, s3017:3, s3025:2, s3036:2, s3038:1, s3040:2, s3041:2, s3045:1, s3048:3, s3052:1, s3060:2, s3068:2, s3069:1, s3073:2, s3084:2, s3091:1, s3094:4, s3101:2, s3102:1, s3103:3, s3112:1, s3113:3, s3119:5, s3124:1, s3128:6, s3130:3, s3134:2, s3143:2, s3144:3, s3146:4, s3154:2, s3155:2, s3158:2, s3159:2, s3165:1, s3176:1, s3183:2, s3185:1, s3189:4, s3192:1, s3194:2, s3197:2, s3198:1, s3210:1, s3211:9, s3219:1, s3220:1, s3224:1, s3225:2, s3226:1, s3229:1, s3238:5, s3241:2, s3242:1, s3243:3, s3245:2, s3255:2, s3262:2, s3263:3, s3271:1, s3274:3, s3281:1, s3285:1, s4002:3, s4003:1, s4007:3, s4010:1, s4011:1, s4016:1, s4019:2, s4020:1, s4030:1, s5004:4, s5017:4, s5025:2, s5027:4, s5028:2, s5037:2, s5039:1, s5040:2, s5065:3, s5069:5, s5070:3, s5071:1, s5075:2, s5077:1, s5090:1, s5091:4, s5093:2, s5094:1, s5104:2, s5105:2, s5115:2, s5119:2, s5120:1, s5122:1, s5124:3, s5127:1, s5130:1, s5137:3, s5146:1, s5153:1, s5154:4, s5156:4, s5169:5, s5177:3, s5185:1, s5186:1, s5187:2, s5194:1, s5196:8, s5199:1, s5200:1, s5202:3, s5229:2, s5230:4, s5238:2, s5246:4, s5247:1, s5253:1, s5288:1, s6001:3, s6005:1, s6006:8, s6017:1, s6019:3, s6023:2, s6026:4, s6027:3, s6028:2, s6043:1, s6044:3, s6046:1, s6051:3, s6053:3, s6057:1, s6065:8, s6067:1, s6075:2, s6077:3, s6078:6, s6082:1, s6088:3, s6096:1, s6097:3, s6098:3, s6102:8, s6103:3, s6107:2, s6111:1, s6119:3, s6128:1, s6130:1, s6133:8, s6140:2, s6141:8, s6148:1, s6150:1, s6152:8, s6153:1, s6157:3, s6161:1, s6162:2, s6163:1, s6164:1, s6165:1, s6173:2, s6175:1, s6176:4, s6186:1, s6195:1, s6196:2, s6197:1, s6198:8, s6200:2, s6205:7, s6209:3, s6210:1, s6215:2, s6218:2, s6221:1, s6225:6, s6226:2, s6227:9, s6230:1, s6231:1, s6243:1, s6249:2, s6254:1, s6257:1, s6258:6, s6259:4, s6261:2, s6262:1, s6266:6, s6268:4, s6271:3"
一个样,"s1001:2, s1005:2, s1027:2, s1033:1, s1042:1, s1045:2, s1053:2, s1076:3, s1078:2, s1081:2, s1111:1"
心里,"s1001:2, s1005:2, s1012:2, s1027:2, s1033:1, s1042:1, s1045:2, s1051:3, s1053:2, s1057:3, s1067:1, s1076:3, s1078:2, s1081:2, s1094:1, s1095:1, s1111:1, s1123:1, s2002:2, s2007:2, s2019:1, s2042:2, s2044:1, s2054:2, s2057:2, s2066:2, s2071:4, s2079:4, s2092:1, s2111:1, s2113:2, s2166:2, s2170:2, s2172:2, s2193:2, s2194:2, s2199:1, s2210:2, s2235:2, s2237:4, s2248:2, s2264:5, s2267:1, s2280:2, s2281:2, s3004:1, s3023:1, s3033:2, s3073:3, s3094:2, s3095:6, s3112:2, s3118:1, s3125:1, s3157:5, s3208:2, s3219:2, s3234:4, s3250:1, s3269:2, s3272:1, s3279:1, s5010:3, s5015:2, s5034:1, s5046:1, s5052:2, s5055:1, s5058:2, s5063:2, s5068:2, s5078:2, s5094:1, s5111:3, s5118:4, s5122:3, s5134:4, s5150:1, s5154:2, s5171:1, s5173:2, s5182:2, s5207:2, s5220:2, s5226:1, s5231:1, s5240:6, s5257:4, s6008:3, s6111:1, s6122:2, s6128:1, s6134:4, s6154:3, s6158:3, s6161:1, s6174:1, s6191:2, s6254:1, s6263:1"
